,Country (by Region),Region,Page Number,LaborForceParticipationRatio,LaborForceParticipation(female %),EstimatedEarnedIncomeRatio,"ProportionOfUnpaidWorkPerDay,Female/maleRatio",ShareOfWorkersInInformalSector(female),"Women’sAccessToLandUse,Control&Ownership,0-1(worst)","UnmetDemandforFamilyPlanning,%women15-49","PublicChildcareExpenditure,%GDP","RighttoEqualJustice,0-1(worst)",WageEquality(0-1best),"Maternal mortality,deathsper100,000livebirths",WomeninMinisterialPositions,WomeninParliament 
1.01,Albania ,Eastern Europe and Central Asia,93,0.794,61.5,0.588,6.26,53.9,0.25,12.9, n/a,0,,,,
1.02,Armenia,Eastern Europe and Central Asia,101,0.691,51.0,0.499,4.95,37.7,0.25,12.5,n/a,0.25,,,,
1.03,Azerbaijan,Eastern Europe and Central Asia,107,0.932,69.5,0.549,2.86,n/a,0,15.4,n/a,0.25,,,,
1.04,Belarus,Eastern Europe and Central Asia,117,0.904,74.3,0.610,1.93,n/a,0,7,n/a,0.25,,,,
1.05,Bosnia & Herzegovina,Eastern Europe and Central Asia,129,0.682,46.8,0.560,n/a,24.3,0.25,9,n/a,0.25,,,,
1.06,Bulgaria,Eastern Europe and Central Asia,137,0.886,68.9,0.649,2,n/a,0.25,14,0.97,0,,,,
1.07,Croatia,Eastern Europe and Central Asia,163,0.860,62.0,0.729,n/a,n/a,0.25,11,n/a,0.25,,,,
1.08,Czech Republic,Eastern Europe and Central Asia,169,0.837,70.0,0.627,n/a,n/a,0,4.3,0.44,0.25,,,,
1.09,Estonia,Eastern Europe and Central Asia,183,0.925,75.8,0.580,1.54,n/a,0,12,0.76,0,,,,
1.10,Georgia,Eastern Europe and Central Asia,197,0.790,61.5,0.508,n/a,50.1,0.25,12.3,n/a,0,,,,
1.11,Hungary,Eastern Europe and Central Asia,213,0.817,65.3,0.575,1.86,n/a,0.25,9,0.73,0,,,,
1.12,Kazakhstan,Eastern Europe and Central Asia,237,0.879,71.8,0.591,2.19,n/a,0.25,11.9,n/a,0.25,,,,
1.13,Kyrgz Republic,Eastern Europe and Central Asia,255,0.609,47.3,0.471,1.69,61.5,0.25,18,n/a,0,,,,
1.14,Latvia,Eastern Europe and Central Asia,249,0.939,75.4,0.718,2.15,n/a,0,16.8,0.76,0,,,,
1.15,Lithuania,Eastern Europe and Central Asia,257,0.973,77.2,0.779,1.95,n/a,0,13,0.79,0,,,,
1.16,Moldova,Eastern Europe and Central Asia,279,0.903,44.8,0.747,1.78,21.7,0,9.5,n/a,0,,,,
